date,name,type,duration,distance,notes,felt_rating
12/19/2025,Easy Run,easy,50m,5,,
12/20/2025,Long Run,long,90m,9,,
12/22/2025,Easy Run,easy,50m,5,,
12/23/2025,Easy Run,easy,50m,5,,
12/24/2025,Tempo Run,tempo,52m 30s,6,,
12/27/2025,Long Run,long,80m,9,,
12/30/2025,Easy Run,easy,50m,5,,
12/31/2025,Tempo Run,tempo,50m,6,,
1/1/2026,Easy Run,easy,50m,5,,
1/2/2026,Easy Run,easy,50m,5,,
1/3/2026,Long Run,long,85m,9,,
1/5/2026,Tempo Run,tempo,52m,6,,
1/6/2026,Easy Run,easy,40m,4,,
1/9/2026,Easy Run,easy,60m,6,,
1/10/2026,Long Run,long,90m,10,,
1/11/2026,Easy Run,easy,40m,4,,
1/13/2026,Easy Run,easy,36m 40s,4,,
1/14/2026,Tempo Run,tempo,42m 30s,5,,
1/15/2026,Easy Run,easy,56m,6,,
1/17/2026,Easy Run,easy,50m,5,,
1/18/2026,Long Run,long,77m,9,,
1/20/2026,Easy Run,easy,50m,5,,
1/21/2026,Hill Workout,interval,55m 30s,6,,
1/22/2026,Easy Run,easy,50m,5,,
1/23/2026,Easy Run,easy,50m,5,,
1/25/2026,Long Run,long,77m 30s,9,,
1/27/2026,Tempo Run,tempo,50m,6,,
1/28/2026,Easy Run,easy,50m,5,,
1/29/2026,Easy Run,easy,40m,4,,
1/30/2026,Easy Run,easy,60m,6,,
2/1/2026,Long Run,long,88m 30s,9,,
2/3/2026,Easy Run,easy,50m,5,,
2/4/2026,Tempo Run,tempo,52m 30s,6,,
2/6/2026,Easy Run,easy,50m,5,,
2/7/2026,Long Run,long,90m,9,,
2/8/2026,Easy Run,easy,49m,5,,
2/10/2026,Easy Run,easy,47m,5,,
2/11/2026,Easy Run,easy,46m,5,,
2/14/2026,Long Run,long,111m 30s,13.1,,
2/15/2026,Easy Run,easy,50m,5,,
2/17/2026,Easy Run,easy,60m 30s,7,,
2/18/2026,Easy Run,easy,36m 30s,4,,
2/19/2026,Tempo Run,tempo,49m 30s,6,,
2/21/2026,Long Run,long,2h 2m 30s,14,,
2/22/2026,Easy Run,easy,40m,4,,
2/24/2026,Easy Run,easy,56m,6,,
2/25/2026,Easy Run,easy,50m,5,,
2/26/2026,Easy Run,easy,74m 15s,8.1,,
2/27/2026,Easy Run,easy,40m,4,,
2/28/2026,Long Run,long,140m 20s,15.3,,
3/3/2026,Tempo Run,tempo,60m,7,,
3/4/2026,Easy Run,easy,46m,5,,
3/5/2026,Easy Run,easy,74m,8,,
3/6/2026,Easy Run,easy,50m,5,,
3/8/2026,Long Run,long,141m 20s,16,,
3/10/2026,Easy Run,easy,50m,5,,
3/11/2026,Easy Run,easy,55m 45s,6,,
3/12/2026,Easy Run,easy,74m 20s,8,,
3/13/2026,Easy Run,easy,35m 20s,4,,
3/16/2026,Tempo Run,tempo,71m 30s,8,,
3/19/2026,Medium-Long Run,run,82m 15s,9,,
3/19/2026,Easy Run,easy,40m,4,,
3/20/2026,Easy Run,easy,60m,6,,
3/21/2026,Long Run,long,167m 30s,18.07,,
3/24/2026,Easy Run,easy,68m 30s,8,,
3/25/2026,Easy Run,easy,54m,6,,
3/26/2026,Medium-Long Run,run,97m,10,,
3/27/2026,Easy Run,easy,47m,5,,
3/29/2026,Long Run,long,3h 2m 30s,20,,
4/3/2026,Medium-Long Run,run,106m,12,,
4/5/2026,Medium-Long Run,run,80m,8,,
4/7/2026,Interval Run,interval,61m,7,,
4/8/2026,Easy Run,easy,75m 30s,8,,
4/9/2026,Tempo Run,tempo,54m,6,,
4/10/2026,Easy Run,easy,62m 15s,7,,
4/11/2026,Long Run,long,192m,20,,
4/21/2026,Easy Run,easy,64m 40s,7,,
4/22/2026,Tempo Run,tempo,60m,7,,
